city,num,lat,lon,r
Anaheim,1,33.8352932,-117.91450359999999,4
Arcata,2
Bakersfield,3
Barstow,4
Banning,5
Calexico,6
Chico,7
Colfax,8
Claremont,9
Delano,10
El Centro,11
El Cajon,12
El Monte,13
Fresno,14
Gilroy,15
Hayward,16
Indio,17
Palmdale,18
Long Beach,19
Los Angeles,20
Lodi,21
Madera,22
Merced,23
Modesto,24
Oakland,25
Oceanside,26
Oroville,27
Oxnard,28
Perris,29
Red Bluff,30
Redding,31
Riverside,32
Sacramento,33
San Bernardino,34
San Diego,35
San Fernando,36
San Francisco,37
Santa Ana,38
Santa Maria,39
Santa Rosa,40
Stockton,41
Santa Barbara,42
Salinas,43
Santa Cruz,44
Tracy,45
Truckee,46
Temecula,47
Turlock,48
Tulare,49
Vallejo,50
Victorville,51
Visalia,52
Watsonville,53
Weed,54
Yuba,55
Battle Mountain,56
Elko,57
Lovelock,58
Las Vegas,59
Reno,60
Winnemucca,61
Camp Verde,62
Casa Grande,63
Flagstaff,64
Holbrook,65
Kingman,66
Phoenix,67
Tolleson,68
Tucson,69
Willcox,70
Yuma,71
